"poly_id","operacion","tipo","latitud","longitud","m2total","preciousd","barrio","comuna","lnprecio","lnm2total","residuos","dist_subte","dist_tren","dist_obe","count_delitos","Residuos_Ej_4"
1868,"VTA","TERRENO",-34.6234959,-58.4170314,225,720000,"BOEDO",5,13.4870064909922,5.41610040220442,0.489964808352266,248.85521851387,1809.15805125211,3933.70775141327,553,0.412574369288637
1869,"VTA","TERRENO",-34.63729,-58.416827,167,230000,"BOEDO",5,12.3458345879053,5.11799381241676,-0.476186035515481,600.578389106727,1234.67365972116,4946.61644339686,426,-0.482598675023976
1870,"VTA","TERRENO",-34.5955925,-58.4168053,577,2350000,"PALERMO",14,14.6699258861203,6.3578422665081,0.367746524429377,922.536190609602,1621.17613251232,3349.13468227216,952,0.349465065013696
1871,"VTA","TERRENO",-34.592392,-58.416575,382,1100000,"PALERMO",14,13.9108207377686,5.94542060860658,-0.149222160376693,668.71174938177,1727.30386609542,3439.88157894199,734,-0.14116968549897
1872,"VTA","TERRENO",-34.611067,-58.416523,381,1900000,"ALMAGRO",5,14.4573644441367,5.9427993751267,0.729637105192875,126.671710984381,751.62516047028,3312.04818723201,871,0.612659006889838
1873,"VTA","TERRENO",-34.6195025,-58.4165073,646,2200000,"ALMAGRO",5,14.6039679183285,6.4707995037826,0.566246956462729,656.581383150695,1393.00098428171,3660.42415848573,519,0.708194232426562
1874,"VTA","TERRENO",-34.647906,-58.41649,560,600000,"NUEVA POMPEYA",4,13.3046849341983,6.32793678372919,0.319809634379573,826.880661817471,318.555172097962,5871.57207997329,496,0.209566056859139
1875,"VTA","TERRENO",-34.592537,-58.416409,382,1400000,"PALERMO",14,14.1519827945855,5.94542060860658,0.0919398964401948,669.131488855794,1749.22670371111,3419.9013386253,741,0.0994951987989248
1876,"VTA","TERRENO",-34.6423158,-58.4163205,347,430000,"NUEVA POMPEYA",4,12.9715404876697,5.84932477994686,0.267662598598156,379.03826462808,724.552359494674,5353.1724394891,380,0.131000652139634
1877,"VTA","TERRENO",-34.6170571,-58.4162769,422,935000,"ALMAGRO",5,13.7483018082708,6.04500531403601,-0.0394315563671268,703.31006869062,1153.98551292595,3518.04762390553,599,0.0595530771136409
1878,"VTA","TERRENO",-34.6138981,-58.4162277,1400,1280000,"ALMAGRO",5,14.0623706358958,7.24422751560335,-0.429436865804821,358.680246251968,891.461945253678,3379.32744125585,761,-0.452212244067891
1879,"VTA","TERRENO",-34.6072794,-58.4161268,404,1000000,"ALMAGRO",5,13.8155105579643,6.00141487796115,0.0533695302789589,397.994069328723,682.962845159973,3195.77357473195,1174,-0.110627767431621
