InputID,TargetID,Distance
"559",Obelisco,9941.77966327315
"560",Obelisco,9941.80607450004
"561",Obelisco,13046.4260300315
"562",Obelisco,10773.9758364974
"563",Obelisco,9900.91127591785
"564",Obelisco,11347.1148206989
"565",Obelisco,9478.42858011229
"566",Obelisco,10775.2067875457
"567",Obelisco,9251.55807721908
"568",Obelisco,10837.9130606596
"569",Obelisco,9300.55380483168
"570",Obelisco,10271.8635037423
"571",Obelisco,9818.2575856287
"572",Obelisco,11373.7760905963
"573",Obelisco,9417.22196224886
"574",Obelisco,9404.2981035529
"575",Obelisco,9204.27445749141
"576",Obelisco,9783.20349503961
"577",Obelisco,10448.9253634657
"578",Obelisco,11293.2568477711
"579",Obelisco,11360.5329346161
"580",Obelisco,10287.1023934411
"581",Obelisco,9722.83793618624
"582",Obelisco,9998.10051369332
"583",Obelisco,9384.85955855432
"584",Obelisco,10726.7990182594
"585",Obelisco,11695.4750961234
"586",Obelisco,9742.91259479855
"587",Obelisco,9772.05488575174
"588",Obelisco,10144.5210052319
"589",Obelisco,9592.90068501727
"590",Obelisco,9717.82240921827
"591",Obelisco,9300.51061266898
"592",Obelisco,9134.11606868769
"593",Obelisco,9267.43686494987
"594",Obelisco,10144.6486754787
"595",Obelisco,9117.39025048535
"596",Obelisco,9464.21602499161
"597",Obelisco,11244.8861567721
"598",Obelisco,9891.79098249807
"599",Obelisco,10906.060947017
"600",Obelisco,9234.43403539068
"601",Obelisco,9230.44510944207
"602",Obelisco,9776.10518070677
"603",Obelisco,9047.34022802213
"604",Obelisco,11160.797172295
"605",Obelisco,9043.44281405316
"606",Obelisco,10562.2815432098
"607",Obelisco,9606.19598514145
"608",Obelisco,9982.74234600332
"609",Obelisco,9534.12598628851
"610",Obelisco,9610.31108693456
"611",Obelisco,9214.74668319972
"612",Obelisco,9199.75671732787
"613",Obelisco,9571.30587779241
"614",Obelisco,11338.9495713933
"615",Obelisco,10879.144154166
"616",Obelisco,9081.14794847279
"617",Obelisco,11150.2597988092
"618",Obelisco,9008.22721241198
"619",Obelisco,9399.2731567015
"620",Obelisco,9425.08342605536
"621",Obelisco,9692.90832685134
"622",Obelisco,9090.63260929188
"623",Obelisco,9562.97868075328
"624",Obelisco,10950.7212400975
"625",Obelisco,9101.14600945079
"626",Obelisco,11131.0528829597
"627",Obelisco,10405.207695764
"628",Obelisco,9777.91630406857
"629",Obelisco,10863.3805681048
"630",Obelisco,10411.2142065696
"631",Obelisco,10983.7479523056
"632",Obelisco,10972.9995568194
"633",Obelisco,9399.46249460244
"634",Obelisco,9735.82445206926
"635",Obelisco,10967.2105774909
"636",Obelisco,9528.62105491656
"637",Obelisco,9950.08568289172
"638",Obelisco,9007.3885837553
"639",Obelisco,9085.96408685804
"640",Obelisco,9414.92074991373
"641",Obelisco,9551.18536424073
"642",Obelisco,8920.24410622492
"643",Obelisco,9679.56655613137
"644",Obelisco,9038.65927791076
"645",Obelisco,12159.0209891379
"646",Obelisco,9409.85152215419
"647",Obelisco,11126.8324805696
"648",Obelisco,12257.1380344144
"649",Obelisco,8880.59485648527
"650",Obelisco,11078.6980471117
"651",Obelisco,8993.17637890976
"652",Obelisco,9035.16304094916
"653",Obelisco,9483.86850084825
"654",Obelisco,8869.21423996907
"655",Obelisco,11131.0038988646
"656",Obelisco,8996.86557860003
"657",Obelisco,11209.4764125944
"658",Obelisco,8859.6339245183
"659",Obelisco,11107.0991965008
"660",Obelisco,9887.57792132537
"661",Obelisco,8989.70857362833
"662",Obelisco,8986.34084062172
"663",Obelisco,9726.30962772106
"664",Obelisco,8961.08709166533
"665",Obelisco,8966.81310235296
"666",Obelisco,9950.02098133106
"667",Obelisco,10407.4431956102
"668",Obelisco,10732.4519106052
"669",Obelisco,8769.44150656599
"670",Obelisco,9627.1469265888
"671",Obelisco,9627.25169277208
"672",Obelisco,9400.9309564979
"673",Obelisco,9554.95296577233
"674",Obelisco,8838.96019138187
"675",Obelisco,10510.5470971783
"676",Obelisco,8975.5908347622
"677",Obelisco,11199.4765914933
"678",Obelisco,8838.52602297776
"679",Obelisco,11226.5906085982
"680",Obelisco,9459.00979475353
"681",Obelisco,10338.1604494243
"682",Obelisco,10578.3806838741
