POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,Distance,Distancia_tren,Distancia_obelisco,NUMPOINTS,Distancia_obelisco(correcta)
"570",VTA,TERRENO,-34.563009299999997,-58.482245200000001,490.000000000000000,"530000",VILLA URQUIZA,"12",1310.867896831139888,670.132782630218003,7549838.510593139566481,"299",10271.863503742299145
"571",VTA,TERRENO,-34.633997600000001,-58.482098499999999,577.000000000000000,"900000",FLORESTA,"10",1199.312046380920037,211.266071866450005,7545471.185302790254354,"559",9818.257585628700326
"572",VTA,TERRENO,-34.543508299999999,-58.482068499999997,174.000000000000000,"650000",SAAVEDRA,"12",2253.422176377479900,1160.411857776490024,7551055.267046010121703,"165",11373.776090596300492
"573",VTA,TERRENO,-34.621245500000001,-58.481999399999999,282.000000000000000,"400000",VILLA SANTA RITA,"11",1544.765216189169905,1238.866937294530089,7546265.083284299820662,"313",9417.221962248859199
"574",VTA,TERRENO,-34.621037899999997,-58.481908500000003,693.000000000000000,"1250000",VILLA SANTA RITA,"11",1554.461876429530093,1261.176696760499908,7546284.814890850335360,"326",9404.298103552899192
"575",VTA,TERRENO,-34.608805599999997,-58.481726700000003,259.000000000000000,"430000",VILLA DEL PARQUE,"11",2670.534304237110064,1361.190915969719981,7547053.050082040019333,"370",9204.274457491410431
"576",VTA,TERRENO,-34.633975999999997,-58.481700900000000,624.000000000000000,"1200000",FLORESTA,"10",1163.888203468299935,192.444138529768992,7545502.823733639903367,"589",9783.203495039610061
"577",VTA,TERRENO,-34.648596300000001,-58.481641199999999,308.000000000000000,"320000",PARQUE AVELLANEDA,"9",1924.092286847499963,1800.751313438340048,7544605.933057470247149,"159",10448.925363465699775
"578",VTA,TERRENO,-34.544120999999997,-58.481521000000001,92.000000000000000,"370000",SAAVEDRA,"12",2172.653831603130129,1215.610132565519962,7551059.220871400088072,"189",11293.256847771099274
"579",VTA,TERRENO,-34.543072299999999,-58.481506699999997,174.000000000000000,"650000",SAAVEDRA,"12",2242.040115046469964,1208.494728951440038,7551125.025875159539282,"173",11360.532934616099737
"580",VTA,TERRENO,-34.561454500000004,-58.481493700000001,316.000000000000000,"850000",COGHLAN,"12",1496.016623030069923,704.497402503014996,7549991.755165000446141,"266",10287.102393441100503
"581",VTA,TERRENO,-34.574294799999997,-58.481488900000002,1992.000000000000000,"7600000",VILLA URQUIZA,"12",390.991706478325000,584.518013814527990,7549199.925151010043919,"554",9722.837936186240768
"582",VTA,TERRENO,-34.639629399999997,-58.481479600000000,216.000000000000000,"390000",PARQUE AVELLANEDA,"9",1469.101450026639895,806.509464166245039,7545171.107252580113709,"428",9998.100513693319954
"583",VTA,TERRENO,-34.622265499999997,-58.481367100000000,900.000000000000000,"1150000",VILLA SANTA RITA,"11",1426.002272326790035,1122.388690895480067,7546250.383693340234458,"310",9384.859558554320756
"584",VTA,TERRENO,-34.553111000000001,-58.481335000000001,299.000000000000000,"465000",SAAVEDRA,"12",1762.346907149780009,536.473507514901030,7550518.667954649776220,"268",10726.799018259400327
"585",VTA,TERRENO,-34.669243100000003,-58.481331800000000,2540.000000000000000,"1500000",VILLA LUGANO,"8",3395.517980734759931,961.933435241037046,7543356.688407789915800,"167",11695.475096123400363
"586",VTA,TERRENO,-34.633864799999998,-58.481282200000003,312.000000000000000,"730000",FLORESTA,"10",1123.563953331720086,169.057177860091997,7545541.595262800343335,"587",9742.912594798550344
"587",VTA,TERRENO,-34.634667000000000,-58.481259999999999,2600.000000000000000,"1300000",FLORESTA,"10",1152.522893454409996,256.443178564524999,7545493.823129029944539,"589",9772.054885751740585
"588",VTA,TERRENO,-34.563825299999998,-58.481181399999997,455.000000000000000,"590000",VILLA URQUIZA,"12",1258.226682547259998,547.620026306623004,7549869.297562070190907,"319",10144.521005231899835
"589",VTA,TERRENO,-34.577012099999997,-58.481106199999999,304.000000000000000,"1100000",VILLA URQUIZA,"12",87.527306323506593,668.406894748648028,7549061.473794220015407,"418",9592.900685017270007
"590",VTA,TERRENO,-34.633710999999998,-58.481059000000002,320.000000000000000,"750000",FLORESTA,"10",1098.843346132410034,148.948050429159991,7545568.091855219565332,"595",9717.822409218269968
"591",VTA,TERRENO,-34.619851799999999,-58.481046399999997,464.000000000000000,"590000",VILLA SANTA RITA,"11",1595.090602645909939,1389.373678663949931,7546423.678902540355921,"350",9300.510612668980684
